FIPS,CountyFIPS,StateAbbreviation,AreaTotal,TotalPopulation,White,BlackAfricanAmerican,AmericanIndianAlaskaNative,Asian ,NativeHawaiianOtherPacificIslander,SomeOtherRace,TwoOrMoreRaces,GEOID
US37001020100,37001,NC,1.741972,4058,2474,1157,13,72,0,265,77,37001020100
US37001020200,37001,NC,1.333919,4093,2123,1197,36,182,0,480,75,37001020200
US37001020300,37001,NC,4.395534,7400,3342,2138,0,0,0,1709,211,37001020300
US37001020400,37001,NC,4.566144,6746,1321,3980,0,0,11,1342,92,37001020400
US37001020501,37001,NC,2.786195,3819,2907,507,0,55,0,318,32,37001020501
US37001020502,37001,NC,2.113033,4012,1633,1431,0,93,0,605,250,37001020502
US37001020601,37001,NC,2.168847,3113,3015,29,0,17,5,7,40,37001020601
US37001020602,37001,NC,1.091434,2638,2488,98,0,24,0,13,15,37001020602
US37001020701,37001,NC,2.631689,4973,4115,587,18,14,22,31,186,37001020701
US37001020702,37001,NC,2.931823,4941,2830,1548,0,0,0,537,26,37001020702
US37001020801,37001,NC,4.651721,1661,1169,293,2,56,0,80,61,37001020801
US37001020802,37001,NC,1.838323,5915,2389,2221,0,107,0,1154,44,37001020802
US37001020901,37001,NC,3.075084,3406,2322,431,0,111,14,422,106,37001020901
US37001020902,37001,NC,4.038971,3459,2864,419,0,0,0,133,43,37001020902
US37001021000,37001,NC,1.29345,3999,1738,1459,27,17,0,557,201,37001021000
US37001021101,37001,NC,3.142529,2718,1694,814,47,13,0,119,31,37001021101
US37001021102,37001,NC,4.243095,3369,2107,822,23,26,0,257,134,37001021102
US37001021201,37001,NC,14.41276,5565,3159,1500,6,3,3,738,156,37001021201
US37001021204,37001,NC,12.9896,4976,3793,770,39,0,0,169,205,37001021204
US37001021205,37001,NC,4.549739,6830,4393,1906,0,253,0,95,183,37001021205
US37001021206,37001,NC,5.038638,5029,3318,1358,10,0,0,0,343,37001021206
US37001021207,37001,NC,4.937706,3476,2848,262,15,40,0,251,60,37001021207
US37001021300,37001,NC,53.6423,6018,3982,1694,35,48,4,154,101,37001021300
US37001021400,37001,NC,26.91372,2748,2483,133,7,0,0,125,0,37001021400
US37001021500,37001,NC,36.20787,4760,4127,365,9,0,0,85,174,37001021500
US37001021600,37001,NC,13.14868,7553,6130,883,11,183,0,53,293,37001021600
US37001021701,37001,NC,1.666205,3432,3036,320,5,54,0,17,0,37001021701
